,RTL_STORE_CD,RTL_FIPS_COUNTY_DSC,RTL_PREMISE_TYPE_CD,RTL_CHANNEL_DSC,RTL_SUBCHANNEL_DSC,RTL_BEER_FLAG,RTL_LIQUOR_FLG,BEERTYPE
2322,105601128,SALT LAKE,ON,RECREATION,GOLF/COUNTRY CLUB,Y,N,LowPoint
2323,105611081,WASHINGTON,ON,DINING,CASUAL DINING,Y,Y,LowPoint
2324,105607460,WEBER,ON,DINING,CASUAL DINING,Y,Y,LowPoint
2325,103996879,WEBER,ON,DINING,CASUAL DINING,Y,Y,LowPoint
2326,200483013,CARBON,OFF,GROCERY,SUPERETTE,Y,N,LowPoint
2327,200650754,IRON,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
2328,200329200,WEBER,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
2329,200693943,SALT LAKE,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
2330,102198291,SUMMIT,ON,EXTENDED MASTER ON-PREMISE,OTHER ON-PREMISE,N,N,LowPoint
2331,107036818,WASHINGTON,OFF,EXTENDED MASTER OFF-PREMISE,OTHER OFF-PREMISE,N,N,LowPoint
2332,105617885,SALT LAKE,ON,BAR/NIGHTCLUB,CASUAL NIGHTCLUB,Y,Y,LowPoint
2333,101689452,SALT LAKE,ON,DINING,CASUAL DINING,Y,Y,LowPoint
2334,103871078,UTAH,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
2335,101969722,SALT LAKE,ON,DINING,CASUAL DINING,Y,Y,LowPoint
2336,100111947,SALT LAKE,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
2337,100626233,EMERY,OFF,GROCERY,SUPERMARKET-CONVENTIONAL,Y,N,LowPoint
2338,105525648,SALT LAKE,ON,DINING,CASUAL DINING,Y,Y,LowPoint
2339,100691256,WASHINGTON,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
2340,103997084,SALT LAKE,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
2341,102006970,TOOELE,OFF,DRUG,CONVENTIONAL DRUG,Y,N,LowPoint
2342,105628881,SALT LAKE,ON,RECREATION,BILLIARD/BOWLING/ARCADE,Y,N,LowPoint
2343,100633026,SANPETE,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
2344,102702438,DAVIS,ON,DINING,CASUAL DINING,Y,Y,LowPoint
2345,105620775,SALT LAKE,ON,BAR/NIGHTCLUB,CASUAL NIGHTCLUB,Y,Y,LowPoint
2346,105525474,WEBER,ON,DINING,CASUAL DINING,Y,Y,LowPoint
2347,100657234,JUAB,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
2348,105619378,UINTAH,ON,BAR/NIGHTCLUB,COUNTRY WESTERN,Y,Y,LowPoint
2349,105598032,SALT LAKE,ON,DINING,CASUAL DINING,Y,Y,LowPoint
2350,105628507,IRON,ON,RECREATION,BILLIARD/BOWLING/ARCADE,Y,N,LowPoint
2351,100301236,WASHINGTON,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
2352,201728226,IRON,OFF,EXTENDED MASTER OFF-PREMISE,SMALL GROCERY,N,N,LowPoint
2353,105605455,GARFIELD,ON,DINING,CASUAL DINING,Y,Y,LowPoint
2354,101917161,WASHINGTON,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
2355,105611671,WEBER,ON,DINING,FAST CASUAL,Y,N,LowPoint
2356,101878159,DAVIS,OFF,MILITARY OFF-PREMISE,MILITARY EXCHANGE,Y,Y,NonLowPoint
2357,100432380,SANPETE,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
2358,105605336,GRAND,ON,BAR/NIGHTCLUB,CASUAL NIGHTCLUB,Y,Y,LowPoint
2359,101997066,UTAH,ON,DINING,CASUAL DINING,Y,Y,LowPoint
2360,101514127,SALT LAKE,OFF,GROCERY,SUPERMARKET-CONVENTIONAL,Y,N,LowPoint
2361,102100367,WASATCH,ON,DINING,CASUAL DINING,Y,Y,LowPoint
2362,100846430,SUMMIT,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
2363,107392816,SALT LAKE,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
2364,201415038,SALT LAKE,OFF,LIQUOR,CONVENTIONAL LIQUOR,Y,Y,NonLowPoint
2365,105624744,DUCHESNE,ON,BAR/NIGHTCLUB,NEIGHBORHOOD BAR,Y,Y,LowPoint
2366,201980206,TOOELE,ON,RECREATION,BILLIARD/BOWLING/ARCADE,Y,Y,LowPoint
2367,201529795,UTAH,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
2368,101647934,UINTAH,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
2369,101937714,PIUTE,ON,RECREATION,OTHER ENTERTAINMENT,Y,Y,LowPoint
2370,105545926,UTAH,ON,LODGING,FULL SERVICE LODGING,Y,Y,LowPoint
2371,100756940,SUMMIT,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
2372,101991690,DAVIS,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
2373,101980417,UINTAH,NR,NON RETAIL,CLIENT INTERNAL,N,N,LowPoint
2374,101415029,UTAH,OFF,LIQUOR,CONVENTIONAL LIQUOR,Y,Y,NonLowPoint
2375,107375698,DUCHESNE,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
2376,300267592,WEBER,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
2377,107455473,WASATCH,OFF,GROCERY,SUPERMARKET-CONVENTIONAL,Y,N,LowPoint
2378,107397616,WASHINGTON,ON,DINING,FAST CASUAL,Y,N,LowPoint
2379,107447513,DAVIS,NR,NON RETAIL,CLIENT INTERNAL,N,N,LowPoint
2380,302050112,SALT LAKE,ON,DINING,CASUAL DINING,Y,N,LowPoint
2381,202214133,KANE,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
2382,105610207,WEBER,ON,BAR/NIGHTCLUB,NEIGHBORHOOD BAR,Y,Y,LowPoint
2383,101892639,SALT LAKE,OFF,GROCERY,SUPERETTE,Y,N,LowPoint
2384,105601757,SALT LAKE,ON,RECREATION,GOLF/COUNTRY CLUB,Y,Y,LowPoint
2385,101596283,WASHINGTON,OFF,GROCERY,SUPERCENTER,Y,N,LowPoint
2386,100112366,UTAH,OFF,GROCERY,SUPERMARKET-CONVENTIONAL,Y,N,LowPoint
2387,101750344,SALT LAKE,OFF,DRUG,CONVENTIONAL DRUG,Y,N,LowPoint
2388,100214911,SALT LAKE,OFF,GROCERY,SUPERMARKET-CONVENTIONAL,Y,N,LowPoint
2389,100301270,SALT LAKE,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
2390,101530281,IRON,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
2391,105618687,SALT LAKE,ON,BAR/NIGHTCLUB,NEIGHBORHOOD BAR,Y,Y,LowPoint
2392,100171037,SALT LAKE,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
2393,101674065,SALT LAKE,ON,BAR/NIGHTCLUB,NEIGHBORHOOD BAR,Y,Y,LowPoint
2394,200468970,WEBER,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
2395,101648941,WASHINGTON,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
2396,102123348,WASHINGTON,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
2397,205527267,DAVIS,ON,DINING,CASUAL DINING,Y,N,LowPoint
2398,101622008,UINTAH,ON,DINING,CASUAL DINING,Y,Y,LowPoint
2399,101981456,SALT LAKE,ON,DINING,CASUAL DINING,Y,Y,LowPoint
2400,100329202,SALT LAKE,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
2401,100693974,WEBER,OFF,CONVENIENCE STORE,CONVENTIONAL CONVENIENCE,Y,N,LowPoint
