"RTL_STORE_CD","BEERTYPE"
"105194181","NonLowPoint"
"103846727","NonLowPoint"
"101904236","NonLowPoint"
"102021532","NonLowPoint"
"201910094","NonLowPoint"
"205213561","NonLowPoint"
"105194114","NonLowPoint"
"100764160","NonLowPoint"
"105206301","NonLowPoint"
"105210754","NonLowPoint"
"105212298","NonLowPoint"
"100792644","NonLowPoint"
"105193640","NonLowPoint"
"107379925","NonLowPoint"
"102036068","NonLowPoint"
"105204451","NonLowPoint"
"201917545","NonLowPoint"
"105196710","NonLowPoint"
"105194146","NonLowPoint"
"105192820","NonLowPoint"
"107368689","NonLowPoint"
"105193859","NonLowPoint"
"205206763","NonLowPoint"
"103400360","NonLowPoint"
"105213476","NonLowPoint"
"105214956","NonLowPoint"
"205214933","NonLowPoint"
"107391597","NonLowPoint"
"101466959","NonLowPoint"
"107393786","NonLowPoint"
"102028026","NonLowPoint"
"101397461","NonLowPoint"
"405214826","NonLowPoint"
"105529502","NonLowPoint"
"201962655","NonLowPoint"
"107449817","NonLowPoint"
"401922952","NonLowPoint"
"100793676","NonLowPoint"
"105206495","NonLowPoint"
"105208130","NonLowPoint"
"200898165","NonLowPoint"
"301961663","NonLowPoint"
"103350355","NonLowPoint"
"200767669","NonLowPoint"
"301904620","NonLowPoint"
"205206993","NonLowPoint"
"105211790","NonLowPoint"
"105206792","NonLowPoint"
"107455880","NonLowPoint"
"100898150","NonLowPoint"
"101881531","NonLowPoint"
"102190398","NonLowPoint"
"105207997","NonLowPoint"
"205206759","NonLowPoint"
"105194815","NonLowPoint"
"101921873","NonLowPoint"
"101751246","NonLowPoint"
"105210960","NonLowPoint"
"107333729","NonLowPoint"
"105206445","NonLowPoint"
"201397389","NonLowPoint"
"101765399","NonLowPoint"
"105202648","NonLowPoint"
"101397619","NonLowPoint"
"305206617","NonLowPoint"
"100792623","NonLowPoint"
"201397456","NonLowPoint"
"107270306","NonLowPoint"
"105211808","NonLowPoint"
"200792927","NonLowPoint"
"105194437","NonLowPoint"
"201967058","NonLowPoint"
"105193804","NonLowPoint"
"101768931","NonLowPoint"
"205206690","NonLowPoint"
"102003609","NonLowPoint"
"102102625","NonLowPoint"
"100792632","NonLowPoint"
"100996683","NonLowPoint"
"105542650","NonLowPoint"
"105193762","NonLowPoint"
"105203900","NonLowPoint"
"105212334","NonLowPoint"
"101584972","NonLowPoint"
"101690608","NonLowPoint"
"100793489","NonLowPoint"
"107468036","NonLowPoint"
"105207992","NonLowPoint"
"201616803","NonLowPoint"
"105207266","NonLowPoint"
"105524940","NonLowPoint"
"205213424","NonLowPoint"
"102116762","NonLowPoint"
"101759883","NonLowPoint"
"207197633","NonLowPoint"
"201778991","NonLowPoint"
"105203904","NonLowPoint"
"101601659","NonLowPoint"
"105206468","NonLowPoint"
"100683222","NonLowPoint"
"105206573","NonLowPoint"
"105211557","NonLowPoint"
"101987484","NonLowPoint"
"107344984","NonLowPoint"
"101422915","NonLowPoint"
"105211573","NonLowPoint"
"103329766","NonLowPoint"
"102609435","NonLowPoint"
"101424023","NonLowPoint"
"105205279","NonLowPoint"
"105205606","NonLowPoint"
"205210745","NonLowPoint"
"100799468","NonLowPoint"
"100364198","NonLowPoint"
"105206966","NonLowPoint"
"305213488","NonLowPoint"
"105196282","NonLowPoint"
"102632900","NonLowPoint"
"107516479","NonLowPoint"
"102453388","NonLowPoint"
"201932227","NonLowPoint"
"101870894","NonLowPoint"
"102596627","NonLowPoint"
